,Model,DataType,Set,SetName,SubsetVariableNumber,TotSubsets,Statistic,N,TSS,Kappa,AUC,Spec,Sens,ThreshMxTSS,AICc_bg,NumDVars
44,MaxentAll_RSFSAAUC,Random10WrapperTrain,Random10,10_AllVariables,10,250,SD,10,0.011947186,0.026496182,0.010005991,0.054240723,0.050006198,0.015244756,53.66441802,9.866328823
45,MaxentAll_RSFSAAUC,Random10WrapperTrain,Random10,10_AllVariables,12,250,SD,10,0.048162926,0.053751056,0.025934839,0.038848144,0.030344893,0.014284985,112.2051769,10.15928694
46,MaxentAll_RSFSAAUC,Random10WrapperTrain,Random10,10_AllVariables,15,250,SD,10,0.042111016,0.041159141,0.019251124,0.032391678,0.039041296,0.021820676,78.74118281,9.957688264
47,MaxentAll_RSFSAAUC,Random10WrapperTrain,Random10,10_AllVariables,20,250,SD,10,0.022087241,0.026962554,0.012424617,0.042277836,0.048365718,0.020313944,73.08729305,7.974960815
48,MaxentAll_RSFSAAUC,Random10WrapperTrain,Random10,10_AllVariables,25,250,SD,10,0.019495212,0.020216832,0.009493234,0.025983673,0.028435016,0.014284985,48.11439708,4.876246279
145,MaxentAll_RSFSAAUC,Top10FinalDiffTestTrain,Top10,10_AllVariables,3,250,Mean,10,0.012723531,0.008550387,0.010630506,-0.005545594,0.018269125,0,0,0
146,MaxentAll_RSFSAAUC,Top10FinalDiffTestTrain,Top10,10_AllVariables,6,250,Mean,10,0.021475202,0.022334075,0.018652577,0.002367552,0.01910765,0,0,0
147,MaxentAll_RSFSAAUC,Top10FinalDiffTestTrain,Top10,10_AllVariables,8,250,Mean,10,0.024780421,0.032214009,0.020696807,0.011620201,0.013160219,0.004040404,0,0
148,MaxentAll_RSFSAAUC,Top10FinalDiffTestTrain,Top10,10_AllVariables,10,250,Mean,10,0.029441616,0.040708142,0.021723545,0.037124596,-0.00768298,0.014141414,0,0
149,MaxentAll_RSFSAAUC,Top10FinalDiffTestTrain,Top10,10_AllVariables,12,250,Mean,10,0.03318073,0.033552725,0.022633798,0.015216443,0.017964287,0.005050505,0,0
150,MaxentAll_RSFSAAUC,Top10FinalDiffTestTrain,Top10,10_AllVariables,15,250,Mean,10,0.035075078,0.046746553,0.024468808,0.024685447,0.010389631,0.008080808,0,0
151,MaxentAll_RSFSAAUC,Top10FinalDiffTestTrain,Top10,10_AllVariables,20,250,Mean,10,0.050408926,0.053561841,0.027909425,0.053220962,-0.002812037,0.02020202,0,0
152,MaxentAll_RSFSAAUC,Top10FinalDiffTestTrain,Top10,10_AllVariables,25,250,Mean,10,0.048418906,0.057820614,0.026734228,0.041449958,0.006968947,0.014141414,0,0
153,MaxentAll_RSFSAAUC,Top10FinalDiffTestTrain,Top10,10_AllVariables,3,250,SD,10,0.019805092,0.017767372,0.010246345,0.052243131,0.050929138,0.015057697,0,0
154,MaxentAll_RSFSAAUC,Top10FinalDiffTestTrain,Top10,10_AllVariables,6,250,SD,10,0.021476566,0.019230016,0.007756265,0.064521956,0.069108704,0.026511811,0,0
155,MaxentAll_RSFSAAUC,Top10FinalDiffTestTrain,Top10,10_AllVariables,8,250,SD,10,0.017165008,0.015133073,0.005661654,0.036982831,0.039111715,0.017299977,0,0
156,MaxentAll_RSFSAAUC,Top10FinalDiffTestTrain,Top10,10_AllVariables,10,250,SD,10,0.015395435,0.019112795,0.007221659,0.04206981,0.048175399,0.020864557,0,0
157,MaxentAll_RSFSAAUC,Top10FinalDiffTestTrain,Top10,10_AllVariables,12,250,SD,10,0.012851084,0.014023333,0.005409466,0.043803366,0.043492258,0.020891706,0,0
158,MaxentAll_RSFSAAUC,Top10FinalDiffTestTrain,Top10,10_AllVariables,15,250,SD,10,0.014275656,0.013983714,0.003933943,0.046097803,0.043909743,0.021188058,0,0
159,MaxentAll_RSFSAAUC,Top10FinalDiffTestTrain,Top10,10_AllVariables,20,250,SD,10,0.016949611,0.012308449,0.006522864,0.051878665,0.052766455,0.026080696,0,0
160,MaxentAll_RSFSAAUC,Top10FinalDiffTestTrain,Top10,10_AllVariables,25,250,SD,10,0.010532936,0.015112442,0.004895462,0.062760238,0.065453304,0.036636958,0,0
161,MaxentAll_RSFSAAUC,Top10FinalTest,Top10,10_AllVariables,3,250,Mean,10,0.423823123,0.403757807,0.771025119,0.743891734,0.679931389,0.477777778,21784.19518,35.8
162,MaxentAll_RSFSAAUC,Top10FinalTest,Top10,10_AllVariables,6,250,Mean,10,0.471891598,0.46141896,0.805116122,0.770519386,0.701372213,0.460606061,21639.45288,51.1
163,MaxentAll_RSFSAAUC,Top10FinalTest,Top10,10_AllVariables,8,250,Mean,10,0.500034255,0.47578771,0.823438098,0.758010241,0.742024014,0.435353535,21535.65452,57.5
164,MaxentAll_RSFSAAUC,Top10FinalTest,Top10,10_AllVariables,10,250,Mean,10,0.527559316,0.503314489,0.838344097,0.76152158,0.766037736,0.422222222,21480.26582,72.1
165,MaxentAll_RSFSAAUC,Top10FinalTest,Top10,10_AllVariables,12,250,Mean,10,0.522217398,0.511453877,0.839958668,0.786539868,0.73567753,0.43030303,21479.21328,73.5
166,MaxentAll_RSFSAAUC,Top10FinalTest,Top10,10_AllVariables,15,250,Mean,10,0.540625702,0.514817115,0.847647752,0.76532553,0.775300172,0.417171717,21433.37296,82.1
167,MaxentAll_RSFSAAUC,Top10FinalTest,Top10,10_AllVariables,20,250,Mean,10,0.534536194,0.516958482,0.848833506,0.752889539,0.781646655,0.403030303,21406.05029,89.2
168,MaxentAll_RSFSAAUC,Top10FinalTest,Top10,10_AllVariables,25,250,Mean,10,0.54997434,0.530840797,0.85667448,0.782735918,0.767238422,0.409090909,21384.14425,99.1
169,MaxentAll_RSFSAAUC,Top10FinalTest,Top10,10_AllVariables,3,250,SD,10,0.038053589,0.050905851,0.016979727,0.050254669,0.049019139,0.015095294,43.43776791,7.130529044
170,MaxentAll_RSFSAAUC,Top10FinalTest,Top10,10_AllVariables,6,250,SD,10,0.025516589,0.025102341,0.009388558,0.054104627,0.052969664,0.026167487,63.44520812,7.69487564
171,MaxentAll_RSFSAAUC,Top10FinalTest,Top10,10_AllVariables,8,250,SD,10,0.024493984,0.031100572,0.011613137,0.048235072,0.039299183,0.014637754,48.53342377,7.321960879
172,MaxentAll_RSFSAAUC,Top10FinalTest,Top10,10_AllVariables,10,250,SD,10,0.025635875,0.024485045,0.011855809,0.032413692,0.031928322,0.014906359,42.54902969,8.171087239
173,MaxentAll_RSFSAAUC,Top10FinalTest,Top10,10_AllVariables,12,250,SD,10,0.01947661,0.021862271,0.007971122,0.047025418,0.039109483,0.019747984,46.38006843,10.31988372
174,MaxentAll_RSFSAAUC,Top10FinalTest,Top10,10_AllVariables,15,250,SD,10,0.017344609,0.021955949,0.006720706,0.044231528,0.035337992,0.020782895,21.43609309,10.56671924
175,MaxentAll_RSFSAAUC,Top10FinalTest,Top10,10_AllVariables,20,250,SD,10,0.024062965,0.023549638,0.009392426,0.044951576,0.043551468,0.022561435,37.53134475,7.757433711
176,MaxentAll_RSFSAAUC,Top10FinalTest,Top10,10_AllVariables,25,250,SD,10,0.016824793,0.021311694,0.006293788,0.057891011,0.050145579,0.028270801,12.22717454,7.430417963
177,MaxentAll_RSFSAAUC,Top10FinalTrain,Top10,10_AllVariables,3,250,Mean,10,0.436546654,0.412308193,0.781655625,0.73834614,0.698200514,0.477777778,21784.19518,35.8
178,MaxentAll_RSFSAAUC,Top10FinalTrain,Top10,10_AllVariables,6,250,Mean,10,0.4933668,0.483753035,0.823768699,0.772886937,0.720479863,0.460606061,21639.45288,51.1
179,MaxentAll_RSFSAAUC,Top10FinalTrain,Top10,10_AllVariables,8,250,Mean,10,0.524814676,0.508001718,0.844134905,0.769630443,0.755184233,0.439393939,21535.65452,57.5
180,MaxentAll_RSFSAAUC,Top10FinalTrain,Top10,10_AllVariables,10,250,Mean,10,0.557000932,0.544022631,0.860067643,0.798646176,0.758354756,0.436363636,21480.26582,72.1
181,MaxentAll_RSFSAAUC,Top10FinalTrain,Top10,10_AllVariables,12,250,Mean,10,0.555398128,0.545006602,0.862592466,0.801756312,0.753641817,0.435353535,21479.21328,73.5
