,Model,DataType,Set,SetName,SubsetVariableNumber,TotSubsets,Statistic,N,TSS,Kappa,AUC,Spec,Sens,ThreshMxTSS,AICc_bg,NumDVars
162,MaxentAll_RSFSAAIC,Top10FinalTest,Top10,10_AllVariables,6,250,Mean,10,0.45649875,0.435464171,0.799187225,0.736430139,0.720068611,0.452525253,21620.72038,50.2
163,MaxentAll_RSFSAAIC,Top10FinalTest,Top10,10_AllVariables,8,250,Mean,10,0.495945598,0.477504202,0.821904271,0.767300658,0.72864494,0.445454545,21532.52835,54.5
164,MaxentAll_RSFSAAIC,Top10FinalTest,Top10,10_AllVariables,10,250,Mean,10,0.526986641,0.498628224,0.839161703,0.758376006,0.768610635,0.424242424,21462.83638,67.9
165,MaxentAll_RSFSAAIC,Top10FinalTest,Top10,10_AllVariables,12,250,Mean,10,0.523460872,0.508262797,0.84007831,0.782809071,0.740651801,0.431313131,21457.94252,71.2
166,MaxentAll_RSFSAAIC,Top10FinalTest,Top10,10_AllVariables,15,250,Mean,10,0.543365485,0.522888663,0.849169658,0.78127286,0.762092624,0.424242424,21429.19481,81.1
167,MaxentAll_RSFSAAIC,Top10FinalTest,Top10,10_AllVariables,20,250,Mean,10,0.551896015,0.532761952,0.85459301,0.765618142,0.786277873,0.408080808,21408.18519,88.9
168,MaxentAll_RSFSAAIC,Top10FinalTest,Top10,10_AllVariables,25,250,Mean,10,0.566779052,0.543935218,0.859455356,0.788734455,0.778044597,0.407070707,21362.07209,90.1
169,MaxentAll_RSFSAAIC,Top10FinalTest,Top10,10_AllVariables,3,250,SD,10,0.057533749,0.068230614,0.029597156,0.097667433,0.066924439,0.020891706,46.23741127,7.978443179
170,MaxentAll_RSFSAAIC,Top10FinalTest,Top10,10_AllVariables,6,250,SD,10,0.030734891,0.034475282,0.013920776,0.056923677,0.063733662,0.025106198,59.57135871,3.794733192
171,MaxentAll_RSFSAAIC,Top10FinalTest,Top10,10_AllVariables,8,250,SD,10,0.029393971,0.032677491,0.013526626,0.048322084,0.030978375,0.01871642,48.93339264,5.642103627
172,MaxentAll_RSFSAAIC,Top10FinalTest,Top10,10_AllVariables,10,250,SD,10,0.02315327,0.026042496,0.010558191,0.041626572,0.033450861,0.019046647,12.98015591,8.225299724
173,MaxentAll_RSFSAAIC,Top10FinalTest,Top10,10_AllVariables,12,250,SD,10,0.028078321,0.02968471,0.011588076,0.054474158,0.047732493,0.02566443,32.38594027,8.689712948
174,MaxentAll_RSFSAAIC,Top10FinalTest,Top10,10_AllVariables,15,250,SD,10,0.018097101,0.021100742,0.007386884,0.041266415,0.033427398,0.018441837,25.1281994,10.71292055
175,MaxentAll_RSFSAAIC,Top10FinalTest,Top10,10_AllVariables,20,250,SD,10,0.017574918,0.016184267,0.006391054,0.036583272,0.028590051,0.012776879,34.4491967,8.799621204
176,MaxentAll_RSFSAAIC,Top10FinalTest,Top10,10_AllVariables,25,250,SD,10,0.013012101,0.01156981,0.004904375,0.034794947,0.03494917,0.0172014,27.70791976,11.53208086
177,MaxentAll_RSFSAAIC,Top10FinalTrain,Top10,10_AllVariables,3,250,Mean,10,0.405865754,0.378471237,0.767466156,0.692755214,0.71311054,0.463636364,21773.79894,29.1
178,MaxentAll_RSFSAAIC,Top10FinalTrain,Top10,10_AllVariables,6,250,Mean,10,0.483177521,0.468644487,0.821506667,0.740761068,0.742416452,0.451515152,21620.72038,50.2
179,MaxentAll_RSFSAAIC,Top10FinalTrain,Top10,10_AllVariables,8,250,Mean,10,0.517691887,0.506228489,0.840241223,0.792499085,0.725192802,0.453535354,21532.52835,54.5
180,MaxentAll_RSFSAAIC,Top10FinalTrain,Top10,10_AllVariables,10,250,Mean,10,0.555184515,0.543880674,0.860728015,0.803256495,0.751928021,0.441414141,21462.83638,67.9
181,MaxentAll_RSFSAAIC,Top10FinalTrain,Top10,10_AllVariables,12,250,Mean,10,0.55930675,0.544668633,0.863277185,0.797438712,0.761868038,0.435353535,21457.94252,71.2
182,MaxentAll_RSFSAAIC,Top10FinalTrain,Top10,10_AllVariables,15,250,Mean,10,0.576252073,0.56556012,0.872295135,0.796560556,0.779691517,0.427272727,21429.19481,81.1
183,MaxentAll_RSFSAAIC,Top10FinalTrain,Top10,10_AllVariables,20,250,Mean,10,0.587492299,0.573144451,0.877516789,0.812513721,0.774978578,0.425252525,21408.18519,88.9
184,MaxentAll_RSFSAAIC,Top10FinalTrain,Top10,10_AllVariables,25,250,Mean,10,0.598360136,0.59200068,0.882771615,0.819868277,0.778491859,0.418181818,21362.07209,90.1
185,MaxentAll_RSFSAAIC,Top10FinalTrain,Top10,10_AllVariables,3,250,SD,10,0.051530142,0.060333841,0.026432993,0.102049702,0.077807306,0.01871642,46.23741127,7.978443179
186,MaxentAll_RSFSAAIC,Top10FinalTrain,Top10,10_AllVariables,6,250,SD,10,0.021092453,0.022072728,0.012706485,0.05093198,0.043598439,0.015828497,59.57135871,3.794733192
187,MaxentAll_RSFSAAIC,Top10FinalTrain,Top10,10_AllVariables,8,250,SD,10,0.016848189,0.023172783,0.01165012,0.046863382,0.047140729,0.025840517,48.93339264,5.642103627
188,MaxentAll_RSFSAAIC,Top10FinalTrain,Top10,10_AllVariables,10,250,SD,10,0.020412385,0.018485319,0.008607972,0.034990051,0.043508617,0.020782895,12.98015591,8.225299724
189,MaxentAll_RSFSAAIC,Top10FinalTrain,Top10,10_AllVariables,12,250,SD,10,0.01924954,0.024211487,0.008860803,0.015760738,0.021993531,0.012093121,32.38594027,8.689712948
190,MaxentAll_RSFSAAIC,Top10FinalTrain,Top10,10_AllVariables,15,250,SD,10,0.01437916,0.017500998,0.005123721,0.029385477,0.035118767,0.019076384,25.1281994,10.71292055
